"ds","y"
2020-07-05,10
2020-07-12,-27
2020-07-19,0
2020-08-02,13
2020-08-09,10
2020-08-16,2
2020-08-30,16
2020-09-06,8
2020-09-13,-23
2020-09-27,10
2020-10-11,-27
2020-10-25,7
2020-11-01,-27
2020-11-15,0
2020-11-29,3
2020-12-06,27
2020-12-13,2
2021-03-28,3
2021-04-18,3
2021-05-02,10
2021-05-09,3
2021-05-23,3
2021-06-06,-28
2021-06-20,-3
2021-06-27,3
2021-07-04,-23
2021-07-18,1
2021-08-01,35
2021-08-29,9
2021-09-05,3
2021-09-12,2
2021-09-26,-4
2021-10-10,2
2021-10-24,-28
2021-11-07,6
2021-11-14,4
2021-11-21,16
2021-12-05,19
2021-12-12,3
2022-03-20,10
2022-03-27,13
2022-04-10,10
2022-04-24,2
2022-05-08,16
2022-05-22,11
2022-05-29,-1
2022-06-12,3
2022-06-19,13
2022-07-03,-20
2022-07-10,17
2022-07-24,6
2022-07-31,3
2022-08-28,21
2022-09-04,4
2022-09-11,3
2022-10-02,-19
2022-10-09,19
2022-10-23,-11
2022-10-30,7
2022-11-13,17
2022-11-20,10
2023-03-05,-27
2023-03-19,6
2023-04-02,-23
2023-04-30,4
2023-05-07,3
2023-05-28,6
2023-06-04,7
2023-06-18,-2
2023-07-02,-27
2023-07-09,-27
2023-07-23,10
2023-07-30,6
2023-08-27,-21
2023-09-03,-27
2023-09-17,6
2023-09-24,10
2023-10-08,-27
2023-10-22,5
2023-10-29,4
2023-11-05,24
2023-11-26,-20
2024-06-23,0
2024-06-30,-1
2024-07-07,2
2024-07-21,1
2024-07-28,2
2024-08-25,0
2024-09-01,1
2024-09-15,5
2024-09-22,2
2024-10-20,4
2024-10-27,-13
2024-11-03,27
2024-12-01,-20
2025-03-16,6
2025-03-23,16
2025-04-06,0
2025-04-13,10
2025-04-20,5
2025-05-04,-1
2025-05-18,-22
2025-05-25,10
2025-06-01,0
2025-06-15,6
2025-06-29,7
2025-07-06,1
2025-07-27,-4
2025-08-03,1
2025-08-31,8
2025-09-07,0
2025-09-21,6
2025-10-05,-1
2025-10-19,2
2025-10-26,3
