"ds","y"
2020-07-05,-18
2020-07-12,-5
2020-07-19,-6
2020-08-02,8
2020-08-09,-3
2020-08-16,1
2020-08-30,-24
2020-09-06,5
2020-09-13,7
2020-09-27,-5
2020-10-11,-23
2020-10-25,0
2020-11-01,-23
2020-11-15,-16
2020-11-29,2
2020-12-06,13
2020-12-13,1
2021-03-28,1
2021-04-18,-27
2021-05-02,-5
2021-05-09,1
2021-05-23,1
2021-06-06,-22
2021-06-20,2
2021-06-27,-29
2021-07-04,-1
2021-07-18,3
2021-08-01,13
2021-08-29,27
2021-09-05,-26
2021-09-12,6
2021-09-26,1
2021-10-10,-2
2021-10-24,6
2021-11-07,0
2021-11-14,4
2021-11-21,-2
2021-12-05,-25
2021-12-12,-21
2022-03-20,19
2022-03-27,16
2022-04-10,23
2022-04-24,19
2022-05-08,17
2022-05-22,23
2022-05-29,16
2022-06-12,23
2022-06-19,19
2022-07-03,-27
2022-07-10,19
2022-07-24,23
2022-07-31,23
2022-08-28,16
2022-09-04,27
2022-09-11,19
2022-10-02,-4
2022-10-09,7
2022-10-23,24
2022-10-30,29
2022-11-13,43
2022-11-20,16
2023-03-05,10
2023-03-19,18
2023-04-02,-27
2023-04-30,17
2023-05-07,19
2023-05-28,24
2023-06-04,-29
2023-06-18,10
2023-07-02,16
2023-07-09,20
2023-07-23,13
2023-07-30,-6
2023-08-27,16
2023-09-03,-25
2023-09-17,10
2023-09-24,19
2023-10-08,16
2023-10-22,13
2023-10-29,-22
2023-11-05,6
2023-11-26,-13
2024-06-23,19
2024-06-30,35
2024-07-07,-28
2024-07-21,23
2024-07-28,-30
2024-08-25,10
2024-09-01,10
2024-09-15,23
2024-09-22,19
2024-10-20,27
2024-10-27,16
2024-11-03,19
2024-12-01,18
2024-12-08,15
2025-03-16,23
2025-03-23,23
2025-04-06,16
2025-04-13,28
2025-04-20,16
2025-05-04,23
2025-05-18,10
2025-05-25,3
2025-06-01,19
2025-06-15,45
2025-06-29,16
2025-07-06,1
2025-07-27,16
2025-08-03,33
2025-08-31,19
2025-09-07,15
2025-09-21,27
2025-10-05,35
2025-10-19,13
2025-10-26,20
