"ds","y"
2020-07-05,11
2020-07-12,-5
2020-07-19,-29
2020-08-02,10
2020-08-09,0
2020-08-16,3
2020-08-30,8
2020-09-06,35
2020-09-13,-24
2020-09-27,3
2020-10-11,14
2020-10-25,16
2020-11-01,-29
2020-11-15,6
2020-11-29,13
2020-12-06,0
2020-12-13,6
2021-03-28,-26
2021-04-18,10
2021-05-02,1
2021-05-09,2
2021-05-23,13
2021-06-06,23
2021-06-20,10
2021-06-27,-29
2021-07-04,3
2021-07-18,0
2021-08-01,26
2021-08-29,13
2021-09-05,19
2021-09-12,-34
2021-09-26,-2
2021-10-10,12
2021-10-24,-30
2021-11-07,19
2021-11-14,12
2021-11-21,-2
2021-12-05,13
2021-12-12,17
2022-03-20,-29
2022-03-27,7
2022-04-10,3
2022-04-24,5
2022-05-08,-27
2022-05-22,1
2022-05-29,6
2022-06-12,16
2022-06-19,1
2022-07-03,-25
2022-07-10,0
2022-07-24,2
2022-07-31,-12
2022-08-28,-8
2022-09-04,0
2022-09-11,3
2022-10-02,1
2022-10-09,-1
2022-10-23,-3
2022-10-30,3
2022-11-13,-4
2022-11-20,3
2023-03-05,12
2023-03-19,2
2023-04-02,-22
2023-04-30,3
2023-05-07,7
2023-05-28,7
2023-06-04,3
2023-06-18,1
2023-07-02,-27
2023-07-09,-25
2023-07-23,1
2023-07-30,24
2023-08-27,2
2023-09-03,14
2023-09-17,2
2023-09-24,-1
2023-10-08,13
2023-10-22,0
2023-10-29,14
2023-11-05,-1
2023-11-26,-19
2024-06-23,3
2024-06-30,3
2024-07-07,-21
2024-07-21,-20
2024-07-28,-1
2024-08-25,3
2024-09-01,-1
2024-09-15,6
2024-09-22,1
2024-10-20,-2
2024-10-27,1
2024-11-03,25
2024-12-01,16
2024-12-08,9
2025-03-16,0
2025-03-23,-24
2025-04-06,-2
2025-04-13,9
2025-04-20,-29
2025-05-04,7
2025-05-18,-2
2025-05-25,-23
2025-06-01,7
2025-06-15,5
2025-06-29,-2
2025-07-06,11
2025-07-27,3
2025-08-03,-3
2025-08-31,-3
2025-09-07,4
2025-09-21,0
2025-10-05,0
2025-10-19,-5
2025-10-26,3
