"ds","y"
2020-07-05,-27
2020-07-12,11
2020-07-19,19
2020-08-02,3
2020-08-09,13
2020-08-16,19
2020-08-30,3
2020-09-06,23
2020-09-13,-23
2020-09-27,-28
2020-10-25,-28
2020-11-01,2
2020-11-15,3
2020-11-29,-26
2020-12-06,23
2020-12-13,1
2021-03-28,1
2021-04-18,7
2021-05-02,3
2021-05-09,0
2021-05-23,9
2021-06-06,-20
2021-06-20,9
2021-06-27,6
2021-07-04,-3
2021-07-18,10
2021-08-01,-27
2021-08-29,-1
2021-09-05,0
2021-09-12,8
2021-09-26,-1
2021-10-10,2
2021-10-24,1
2021-11-07,6
2021-11-14,-26
2021-11-21,14
2021-12-05,7
2021-12-12,0
2022-03-20,7
2022-03-27,0
2022-04-10,7
2022-04-24,5
2022-05-08,-9
2022-05-22,2
2022-05-29,4
2022-06-12,-17
2022-06-19,7
2022-07-03,9
2022-07-10,-1
2022-07-24,5
2022-07-31,3
2022-08-28,-2
2022-09-04,1
2022-09-11,-26
2022-10-02,13
2022-10-09,7
2022-10-23,-29
2022-10-30,5
2022-11-13,5
2022-11-20,10
2023-03-05,13
2023-03-19,-30
2023-04-02,19
2023-04-30,10
2023-05-07,6
2023-05-28,12
2023-06-04,8
2023-06-18,3
2023-07-02,-2
2023-07-09,4
2023-07-23,3
2023-07-30,0
2023-08-27,4
2023-09-03,-40
2023-09-17,-20
2023-09-24,5
2023-10-08,19
2023-10-22,-37
2023-10-29,16
2023-11-05,24
2023-11-26,-20
2024-06-23,0
2024-06-30,4
2024-07-07,10
2024-07-21,1
2024-07-28,4
2024-08-25,-2
2024-09-01,-2
2024-09-15,-26
2024-09-22,3
2024-10-20,-2
2024-10-27,3
2024-11-03,-28
2024-12-01,-23
2024-12-08,-1
2025-03-16,15
2025-03-23,6
2025-04-06,0
2025-04-13,2
2025-04-20,0
2025-05-04,2
2025-05-18,-4
2025-05-25,4
2025-06-15,0
2025-06-29,2
2025-07-06,16
2025-07-27,2
2025-08-03,10
2025-08-31,18
2025-09-07,-2
2025-09-21,-3
2025-10-05,2
2025-10-19,7
2025-10-26,5
