"ds","y"
2021-03-28,-28
2021-04-18,5
2021-05-02,9
2021-05-09,-6
2021-05-23,4
2021-06-06,12
2021-06-20,7
2021-06-27,2
2021-07-04,4
2021-07-18,6
2021-08-01,19
2021-08-29,1
2021-09-05,13
2021-09-12,6
2021-09-26,13
2021-10-10,-6
2021-10-24,-19
2021-11-07,4
2021-11-14,5
2021-11-21,21
2021-12-05,0
2021-12-12,7
2022-03-20,3
2022-03-27,-25
2022-04-10,-6
2022-04-24,-24
2022-05-08,0
2022-05-22,12
2022-05-29,10
2022-06-12,10
2022-06-19,3
2022-07-03,16
2022-07-10,12
2022-07-24,13
2022-07-31,7
2022-08-28,13
2022-09-04,15
2022-09-11,-32
2022-10-02,-27
2022-10-09,10
2022-10-23,15
2022-10-30,-28
2022-11-13,26
2022-11-20,-30
2023-03-05,23
2023-03-19,22
2023-04-02,23
2023-04-30,19
2023-05-07,23
2023-05-28,9
2023-06-04,26
2023-06-18,16
2023-07-02,10
2023-07-09,3
2023-07-23,16
2023-07-30,27
2023-08-27,13
2023-09-03,-4
2023-09-17,7
2023-09-24,13
2023-10-08,-17
2023-10-22,-25
2023-10-29,23
2023-11-05,2
2023-11-26,-16
2024-06-23,-2
2024-06-30,7
2024-07-07,7
2024-07-21,0
2024-07-28,6
2024-08-25,1
2024-09-01,0
2024-09-15,12
2024-09-22,7
2024-10-20,-3
2024-10-27,-25
2024-11-03,-3
2024-12-01,10
2024-12-08,3
2025-03-16,-25
2025-03-23,-24
2025-04-06,1
2025-04-13,-2
2025-04-20,2
2025-05-04,2
2025-05-18,0
2025-05-25,-29
2025-06-01,3
2025-06-15,10
2025-06-29,10
2025-07-06,1
2025-07-27,3
2025-08-03,16
2025-08-31,7
2025-09-07,-29
2025-09-21,-4
2025-10-05,10
2025-10-19,1
2025-10-26,-24
