"ds","y"
2023-03-05,-22
2023-03-19,-5
2023-04-02,12
2023-04-30,0
2023-05-07,0
2023-05-28,-3
2023-06-04,-1
2023-06-18,-3
2023-07-02,19
2023-07-09,16
2023-07-23,-30
2023-07-30,3
2023-08-27,-1
2023-09-03,26
2023-09-17,23
2023-09-24,27
2023-10-08,-26
2023-10-22,7
2023-10-29,-3
2023-11-05,8
2023-11-26,-12
2024-06-23,9
2024-06-30,27
2024-07-07,19
2024-07-21,35
2024-07-28,26
2024-08-25,19
2024-09-01,27
2024-09-15,35
2024-09-22,23
2024-10-20,16
2024-10-27,13
2024-11-03,7
2024-12-01,23
2024-12-08,1
2025-03-16,3
2025-03-23,35
2025-04-06,23
2025-04-13,45
2025-04-20,35
2025-05-04,35
2025-05-18,23
2025-05-25,23
2025-06-01,45
2025-06-15,19
2025-06-29,37
2025-07-06,37
2025-07-27,35
2025-08-03,27
2025-08-31,45
2025-09-07,23
2025-09-21,-29
2025-10-05,19
2025-10-19,16
2025-10-26,15
